User_ID,Age,Gender,Daily_Screen_Time_Hours,Number_of_Apps_Used,Social_Media_Usage_Hours,Productivity_App_Usage_Hours,Gaming_App_Usage_Hours,Location
1,56,Male,7.38,24,4.43,0.55,2.4,Los Angeles
2,46,Male,11.52,18,4.67,4.42,2.43,Chicago
3,32,Female,9.12,11,4.58,1.71,2.83,Houston
4,25,Female,11.18,21,3.18,3.42,4.58,Phoenix
5,38,Male,7.28,14,3.15,0.13,4,New York
6,56,Female,7.73,21,2.02,3.45,2.26,Chicago
7,36,Male,8.93,24,3.76,1.58,3.59,Los Angeles
8,40,Male,5.87,11,2.66,0.28,2.93,Chicago
9,28,Male,8.9,9,3.39,3.05,2.46,Phoenix
10,28,Male,4.3,16,2.14,1.2,0.96,New York
11,41,Female,7.91,21,3.66,1.93,2.32,Chicago
12,53,Female,5.75,21,4.12,0.4,1.23,Phoenix
13,57,Female,6.04,4,0.73,0.74,4.57,Los Angeles
14,41,Male,7.33,11,4.16,1.49,1.68,Houston
15,20,Male,7.91,15,2.7,0.45,4.76,Los Angeles
16,39,Male,11.44,17,4.22,4.55,2.67,New York
17,19,Female,5.35,5,2.16,0.03,3.16,Los Angeles
18,41,Male,7.03,13,1.9,2.42,2.71,Los Angeles
19,47,Female,5.85,23,4.58,0.62,0.65,Los Angeles
20,55,Female,4.68,16,1.26,1.54,1.88,Los Angeles
21,19,Female,9.35,27,4.22,4.63,0.5,New York
22,38,Female,6.34,10,2.42,0.81,3.11,Phoenix
23,50,Female,9.63,20,2.57,4.83,2.23,Chicago
24,29,Female,6.46,21,1.54,1.03,3.89,Houston
25,39,Male,7.68,18,2.87,3.71,1.1,Chicago
26,42,Male,5.18,4,1.63,2.73,0.82,Chicago
27,44,Female,6.65,10,0.2,4.42,2.03,Houston
28,59,Female,8.76,24,1.36,2.77,4.63,New York
29,45,Male,6.25,8,0.03,2.67,3.55,Houston
30,33,Female,7.96,14,4.89,0.98,2.09,New York
31,32,Female,8.25,17,4.83,0.83,2.59,Chicago
32,20,Male,6.98,27,1.98,4.58,0.42,New York
33,54,Female,10.2,10,3.64,1.64,4.92,Phoenix
34,24,Female,6.92,6,1.73,1.86,3.33,Houston
35,38,Female,8.59,17,3.36,3.8,1.43,Phoenix
36,26,Male,8.65,22,4.03,1.69,2.93,Chicago
37,56,Male,10.04,27,4.73,4.76,0.55,Houston
38,35,Male,10.52,19,2,3.69,4.83,Chicago
39,21,Female,7.78,15,3.92,2.99,0.87,Phoenix
40,42,Female,8.97,20,1.33,4.4,3.24,Chicago
41,31,Male,6.43,4,4.95,0.25,1.23,Houston
42,26,Female,5.01,15,0.13,1.29,3.59,Houston
43,43,Female,9.23,15,3.02,2.33,3.88,Chicago
44,19,Female,7.8,24,3.3,1.13,3.37,Houston
45,37,Female,10.23,17,3.44,3.72,3.07,Houston
46,45,Female,9.66,22,0.6,4.6,4.46,Chicago
47,24,Male,7.2,29,4.69,2.12,0.39,Phoenix
48,25,Female,4.27,12,0.91,1.71,1.65,Houston
49,52,Male,9.16,5,3.11,4.81,1.24,Houston
50,31,Female,8.27,21,1.11,2.22,4.94,Houston
51,34,Male,5.94,5,1.54,2.45,1.95,Houston
52,53,Female,8.15,24,2.73,1.76,3.66,Chicago
53,57,Male,10.06,16,2.09,4.55,3.42,Phoenix
54,21,Female,4.7,10,0.8,2.84,1.06,Phoenix
55,19,Male,5.85,29,0.85,3.81,1.19,New York
56,23,Female,7.56,25,2.09,4.06,1.41,Houston
57,59,Male,7.56,6,3.79,1.71,2.06,Houston
58,21,Female,7.83,29,4.49,2.17,1.17,New York
59,46,Male,4.76,22,0.42,4.24,0.1,Phoenix
60,35,Male,8.19,13,1.97,1.82,4.4,Los Angeles
61,43,Female,9.3,28,0.5,3.97,4.83,Los Angeles
62,51,Female,6.49,13,0.08,4.7,1.71,Phoenix
63,27,Male,8.12,29,3.31,3.12,1.69,Houston
64,53,Female,6.76,13,3.01,3.71,0.04,Los Angeles
65,31,Male,8.25,4,0.82,4.03,3.4,Chicago
66,48,Male,9.53,19,1.17,4.23,4.13,Chicago
67,32,Male,2.83,11,0.12,1.98,0.73,New York
68,25,Female,5.23,4,4.17,0.26,0.8,Phoenix
69,31,Male,10.83,26,4.87,2.01,3.95,Phoenix
70,40,Male,7.13,17,0.68,3.37,3.08,Los Angeles
71,57,Female,3.63,18,1.16,2.25,0.22,Houston
72,38,Female,11.19,27,4.34,3.74,3.11,Phoenix
73,33,Female,7.95,6,4.63,1.78,1.54,Los Angeles
74,35,Female,7.11,10,2.1,3.17,1.84,Los Angeles
75,41,Male,5.03,11,0.25,0.93,3.85,Phoenix
76,43,Male,8,28,0.2,3.75,4.05,Los Angeles
77,42,Male,7.6,28,2.87,2.73,2,New York
78,58,Male,7.72,7,1.96,1.02,4.74,New York
79,46,Female,3.63,18,0.14,1.46,2.03,Phoenix
80,32,Male,10.52,15,2.92,3.74,3.86,Houston
81,18,Male,4.89,9,0.06,2.41,2.42,New York
82,42,Female,9.51,28,3.94,1.08,4.49,New York
83,24,Male,10.91,22,1.53,4.84,4.54,Phoenix
84,26,Male,4.22,19,0.2,3.58,0.44,Chicago
85,41,Male,12.41,5,2.94,4.79,4.68,Los Angeles
86,18,Male,8.26,7,1.99,2.14,4.13,New York
87,25,Male,11.21,21,4.87,2.38,3.96,Chicago
88,41,Male,8.21,14,2.72,4.49,1,Houston
89,28,Female,8.04,29,1.38,2.63,4.03,Chicago
90,34,Female,11.34,9,3.55,3.54,4.25,Phoenix
91,25,Male,4.07,11,1.36,1.26,1.45,Houston
92,52,Male,11.51,8,4.52,2.23,4.76,Houston
93,52,Female,2.74,28,1.87,0.62,0.25,Chicago
94,50,Male,4.53,19,2.75,1.03,0.75,Phoenix
95,22,Male,2.94,18,0.25,0,2.69,New York
96,59,Male,5.21,25,2.13,0.2,2.88,Chicago
97,56,Female,12.28,5,4.16,4.89,3.23,New York
98,58,Male,5.32,23,4.03,1.21,0.08,Chicago
99,45,Female,9.24,28,1.12,3.32,4.8,New York
100,24,Male,5.55,6,1.13,4.2,0.22,Chicago
101,26,Female,7.56,12,4.09,2.75,0.72,Houston
102,25,Female,5.49,7,4.65,0.77,0.07,Los Angeles
103,29,Male,6.95,23,0.48,3.64,2.83,Houston
104,51,Female,9.91,24,2.25,3,4.66,New York
105,50,Male,8.68,12,1.69,3.66,3.33,Phoenix
106,40,Female,12.31,14,4.35,3.85,4.11,Houston
107,41,Male,5.37,12,0.42,4.88,0.07,Los Angeles
108,54,Male,6.64,15,1.06,2.87,2.71,New York
109,52,Female,7.77,13,3.76,1.71,2.3,Houston
110,57,Male,5.99,24,0.26,3.24,2.49,Chicago
111,39,Male,3.16,18,2.46,0.34,0.36,Phoenix
112,44,Female,10.12,10,2.21,4.49,3.42,New York
113,52,Male,4.79,10,1.67,0.6,2.52,Houston
114,18,Male,7.44,29,1.97,1.64,3.83,New York
115,52,Female,9.16,27,2.65,4.08,2.43,Chicago
116,54,Female,4.55,10,0.81,2.99,0.75,Los Angeles
117,31,Male,8.07,15,2.86,1.97,3.24,Houston
118,20,Male,7.26,29,4.03,2.37,0.86,New York
119,18,Female,12.43,4,3.8,4.27,4.36,New York
120,22,Female,5.54,14,0.77,1.7,3.07,New York
121,43,Male,5.89,12,0.75,4.35,0.79,Los Angeles
122,31,Female,6.59,14,1.34,0.44,4.81,New York
123,56,Male,8.28,13,1.81,3.88,2.59,Phoenix
124,44,Male,6.64,17,2.04,4.24,0.36,Phoenix
125,26,Male,7.44,18,3.4,0.91,3.13,New York
126,32,Male,3.7,19,0.28,2.15,1.27,Phoenix
127,32,Male,5.02,28,0.17,0.83,4.02,Houston
128,43,Female,9.58,4,1.96,3.53,4.09,Phoenix
129,59,Female,11.06,20,3.49,2.68,4.89,New York
130,30,Female,6.66,14,0.97,3.18,2.51,Chicago
131,49,Female,6.46,21,3.21,0.98,2.27,Houston
132,56,Male,6.13,28,1.3,1.06,3.77,Los Angeles
133,49,Male,5.3,25,4.43,0.21,0.66,New York
134,21,Male,8.82,20,4.48,1.61,2.73,Los Angeles
135,47,Male,7.02,19,1.49,2.8,2.73,Chicago
136,54,Female,5.89,8,1.15,4.29,0.45,Los Angeles
137,40,Male,7.48,27,2.06,3.33,2.09,New York
138,56,Male,7.65,17,1.2,2.18,4.27,New York
139,32,Female,12.41,5,3.36,4.77,4.28,Chicago
140,46,Female,8.23,8,4.13,3.6,0.5,New York
141,53,Female,8.47,5,3.37,4.65,0.45,Chicago
142,30,Female,8.07,3,4.12,2.64,1.31,Chicago
143,49,Male,7.64,15,1.98,1.29,4.37,New York
144,24,Male,1.68,23,0.78,0.26,0.64,Phoenix
145,39,Female,10.92,28,3.69,3.63,3.6,Chicago
146,45,Male,2.92,16,1.8,0.61,0.51,New York
147,19,Male,7.99,15,3.36,1.51,3.12,Phoenix
148,59,Male,5.79,29,1.35,2.66,1.78,Chicago
149,23,Female,7.17,6,0.41,2.82,3.94,Phoenix
150,45,Male,9.13,9,4.96,3,1.17,Houston
151,45,Female,4.81,24,0.78,0.83,3.2,Houston
152,37,Male,8.02,12,4.94,1.9,1.18,Phoenix
153,47,Male,11.55,9,4.89,3.09,3.57,Chicago
154,28,Male,13.19,23,3.97,4.85,4.37,New York
155,45,Female,7.57,17,3.3,3.64,0.63,Los Angeles
156,42,Male,11.83,17,2.89,4.61,4.33,New York
157,56,Female,11.11,6,4.33,3.81,2.97,Los Angeles
158,50,Female,5.05,25,1.45,2.96,0.64,Los Angeles
159,18,Female,5.44,25,2.34,0.96,2.14,Chicago
160,44,Male,7.23,8,3.1,3.33,0.8,Phoenix
161,30,Male,8.68,26,2.06,3.12,3.5,New York
162,58,Male,8.94,22,2.14,3.01,3.79,Phoenix
163,20,Male,4.63,28,1.65,2.45,0.53,Houston
164,56,Female,7.99,7,2.82,2.64,2.53,Chicago
165,23,Female,9.99,22,4.25,1.67,4.07,Chicago
166,25,Female,8.29,14,1.01,2.6,4.68,Houston
167,44,Male,8.23,3,4.67,0.99,2.57,New York
168,26,Female,12.23,10,3.45,4.03,4.75,Houston
169,54,Male,7.73,3,4.12,0.93,2.68,New York
170,50,Female,5.17,7,2.78,0.42,1.97,Los Angeles
171,59,Male,10.32,24,3.9,2.18,4.24,Chicago
172,41,Male,5.83,8,0.08,3.29,2.46,New York
173,32,Female,8.64,23,4.09,2.19,2.36,Phoenix
174,49,Female,4.03,5,0.2,1.38,2.45,Phoenix
175,49,Female,11.47,17,4.45,2.79,4.23,Chicago
176,41,Female,10.86,7,4.96,1.74,4.16,Houston
177,58,Male,8.15,26,1.47,4.66,2.02,Houston
178,29,Female,7.33,16,1.05,4.61,1.67,New York
179,56,Female,8.8,20,3.83,2.51,2.46,Houston
180,19,Female,5.77,18,1.27,1.64,2.86,Chicago
181,20,Male,9.21,8,4.33,3.69,1.19,New York
182,54,Male,4.66,27,0.51,0.18,3.97,Los Angeles
183,34,Female,5.43,26,0.63,2.37,2.43,Houston
184,19,Male,8.25,16,4.9,1.68,1.67,Houston
185,19,Female,8.5,29,3.37,4.6,0.53,New York
186,45,Male,5.48,26,4.23,0.06,1.19,Phoenix
187,40,Male,9.13,10,1.62,2.76,4.75,Houston
188,54,Male,8.61,9,3.38,3.7,1.53,Chicago
189,49,Male,6.24,10,2.97,2.43,0.84,Houston
190,50,Female,5.75,15,3.02,0.43,2.3,Los Angeles
191,18,Female,9.81,8,3.41,4.86,1.54,Houston
192,36,Female,5.65,20,2.88,2.59,0.18,Phoenix
193,19,Male,6.84,4,2.15,3.07,1.62,Houston
194,43,Female,5.28,10,1.38,1.18,2.72,New York
195,49,Female,9.02,13,3.84,2.42,2.76,Houston
196,23,Female,5.06,3,1.13,2.15,1.78,Phoenix
197,49,Male,6.07,24,3.46,0.37,2.24,New York
198,21,Male,6.53,8,1.17,0.53,4.83,Chicago
199,28,Male,9.21,18,3.13,4.19,1.89,New York
200,34,Female,6.23,29,3.74,1.2,1.29,Los Angeles
201,55,Female,3.28,22,1.09,0.97,1.22,New York
202,41,Female,5.11,14,0.3,2.52,2.29,Chicago
203,22,Male,8.29,13,0.65,3.84,3.8,Houston
204,51,Male,4.37,29,3.03,0.31,1.03,New York
205,23,Female,10.68,12,4.25,2.88,3.55,New York
206,39,Male,0.93,5,0.22,0.6,0.11,New York
207,28,Male,5.94,15,3.67,0.18,2.09,New York
208,33,Male,5.85,29,1.71,0.26,3.88,Chicago
209,50,Male,8.25,5,2.39,4.17,1.69,Phoenix
210,26,Female,8.05,17,4.64,0.59,2.82,Phoenix
211,23,Male,2.91,18,1.66,0.23,1.02,New York
212,33,Male,8.23,15,2.33,2.19,3.71,Chicago
213,46,Male,4.55,19,0.07,4.22,0.26,Chicago
214,20,Male,5.98,5,0.41,1.31,4.26,New York
215,37,Female,4.39,22,1.29,2.11,0.99,Los Angeles
216,53,Female,4.71,13,0.14,0.2,4.37,New York
