Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Viet Nam,VNM,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.4,99,97.9,98.5,99.2,99.3,99.2,100,100,99.4,99.8,100,100
Viet Nam,VNM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,15.3750906872381,16.2591484896283,16.199507640393,15.2156122465127,14.8803489262722,14.4747261789547,13.8182553730866,12.9298794852362,12.3066684310428,11.7845285540387,12.6554035685556,12.6030995600152,11.9555291961435
Viet Nam,VNM,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.3450560815081,34.3732843043373,34.4331120376958,34.6726704451298,34.6991265943562,38.7634300520449,38.8407942894887,38.8279627189274,38.7344502263671,39.5241027473527,39.4347683207361,39.4347683207361,..
Viet Nam,VNM,Arable land (% of land area),AG.LND.ARBL.ZS,20.5474729806508,20.5487672527164,20.4216208283752,20.5196472555451,20.4533923049676,22.3458196519913,22.3302179094857,22.2981273312636,22.1807809743195,21.6444553630966,21.6540269088055,21.6540269088055,..
Viet Nam,VNM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.03551443553741,1.01886508735031,1.00616224258221,0.982853887980753,0.970951385226766,0.957729858789704,0.954679411429535,0.949106871342836,0.944862768457324,0.934180270950218,0.95339096234681,..,..
Viet Nam,VNM,"Armed forces personnel, total",MS.MIL.TOTL.P1,522000,522000,522000,522000,522000,522000,522000,522000,522000,522000,522000,..,..
Viet Nam,VNM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.906,16.929,17.078,17.152,16.981,16.787,16.438,16.1,15.873,15.663,15.4,15.008,14.689
Viet Nam,VNM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.04593992233276,3.7802300453186,4.40817022323608,4.52833986282349,3.54012322425842,3.41660451889038,3.469074010849,3.41865682601929,3.14502310752869,3.08499836921692,3.21652889251709,2.94517493247986,2.88738679885864
Viet Nam,VNM,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,1470000000,1710000000,1856000000,2050000000,2650000000,3595000000,4500000000,5040000000,5910000000,6460000000,4360000000,..,..
Viet Nam,VNM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,18.4,18.2,18,17.8,17.7,17.5,17.3,17.2,17,16.8,16.7,16.5,16.2
Viet Nam,VNM,"Population, total",SP.POP.TOTL,87411012,88349117,89301326,90267739,91235504,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856
Viet Nam,VNM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.07146072,4.97468519,5.00178242,4.41233158,4.69078779,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.30061865,4.59346437,..
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,147201173196.979,172595049183.925,195590661129.249,213708811665.34,233451469642.519,239258328381.741,257096001177.982,281353605986.903,310106478394.659,334365270496.667,346615738537.796,366474752771.009,410324028883.325
Viet Nam,VNM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,115332338086.026,135101994515.16,154477720233.241,171082680414.096,188100250560.32,193012873974.015,207119930081.264,226109651614.286,251443799424.426,270987124646.919,284265645145.513,296054908425.414,..
Viet Nam,VNM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.29329287922351,5.28325691582951,4.37956278606582,4.42344722195396,5.29338738412332,5.87784930468686,5.61868010324022,5.90924097336334,6.46719149769011,6.39258594504489,1.9373565936546,1.69163268841115,7.33194108707495
United States,USA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100
United States,USA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.02943688973818,1.20055880447177,1.14932980065793,1.31815003575389,1.16824049198161,1.02890409132672,0.937140437714336,0.940362226343714,0.898498260790929,0.833339957749021,0.937167526069329,0.948221772701748,..
United States,USA,Agricultural land (% of land area),AG.LND.AGRI.ZS,44.4925126429091,44.2787583821449,44.0649990707762,44.1246821508141,44.1843601802475,44.2440272776368,44.3037053070702,44.363367353855,44.363367353855,44.363367353855,44.363367353855,44.363367353855,..
United States,USA,Arable land (% of land area),AG.LND.ARBL.ZS,17.2416375327688,17.0935629937184,16.9454884546681,17.0051664841015,17.064844513535,17.1245116109242,17.1841896403576,17.2438567377468,17.2438567377468,17.2438567377468,17.2438567377468,17.2438567377468,..
United States,USA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.997357507854916,0.965489501589434,0.941731306299086,0.902431361598941,0.865769585420757,0.838683230352333,0.830046813125936,0.828802429826734,0.834689345600044,0.830637794997527,0.842140299752928,..,..
United States,USA,"Armed forces personnel, total",MS.MIL.TOTL.P1,1569417,1520100,1492200,1433150,1381250,1347300,1348400,1359000,1379800,1388000,1395000,..,..
United States,USA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13,12.7,12.6,12.4,12.5,12.4,12.2,11.8,11.6,11.4,10.9,11,11
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.6945538520813,6.49768352508545,6.25388622283936,6.22925806045532,6.12920570373535,4.93063020706177,4.78327989578247,5.09296989440918,4.89502000808716,4.95746994018555,5.39998006820679,5.42829990386963,..
United States,USA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,123831000000,130606000000,138167000000,132322000000,140228000000,144669000000,147640000000,158287000000,176818000000,186079000000,48837000000,..,..
United States,USA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.2,6.1,6,5.9,5.9,5.8,5.7,5.6,5.6,5.5,5.5,5.4,5.4
United States,USA,"Population, total",SP.POP.TOTL,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411
United States,USA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,16.19719124,16.13996315,16.11969566,15.99170876,16.19919777,16.49056816,16.80215836,16.76750183,16.62964439,16.66580582,18.75621986,17.3625679,16.57115173
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21521395000000,21322950000000,23594031000000,25744108000000
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,12722091661665.9,13296413540065.9,14049366650049.1,14448714729140.7,15165776173714.4,15741217552602.7,16012842178567.7,16734705033537.7,17602894205765.3,18261844597577.2,17860069690350.5,19593000990250.4,..
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.8467404584986,0.82892617390047,1.54146623449971,1.41274167855772,1.77469980748791,2.19043056582386,1.08425738313417,1.81147636540288,2.42587721947302,2.00148267922953,-3.15644425196703,5.63386812824078,1.56159818901087
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.735025772222781,0.65142159370015,0.627943991804764,0.633172496321641,0.628716003480972,0.723671590492829,0.750862915175131,0.761757604094752,0.711464002250805,0.746712202794498,0.963890714422504,0.943418357564354,0.823739507605187
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,5.52379611377077,5.47029005913827,5.30413967896367,5.34215713883413,5.3858068149817,5.39003097718952,5.40411151788229,5.40411151788229,5.37524640946212,5.49704308645452,5.48859476203886,5.51339763446916,..
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,0.712475359053788,0.635032385243593,0.522388059701493,0.528020275978598,0.619543790481555,0.620951844550831,0.626584060827936,0.626584060827936,0.595606871303858,0.702618980568854,0.689946493945367,0.708251196845959,..
United Arab Emirates,ARE,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.897082634503029,0.881919915446361,0.867489750013268,1.05462594091885,1.03850752950927,1.02341608491689,1.00894372560318,0.995492473286829,0.983613314439631,0.972296794985665,0.970490914356487,..,..
United Arab Emirates,ARE,"Armed forces personnel, total",MS.MIL.TOTL.P1,51000,51000,51000,63000,63000,63000,63000,63000,63000,63000,63000,..,..
United Arab Emirates,ARE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.665,13.292,12.911,12.438,11.989,11.478,10.993,10.62,10.049,9.75,10.62,10.307,9.888
